district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Bhadradri Kothagudem,TSD0001,6974.14,0.15146537125110626,0.2537960112094879,0.1894513023062928,1825.0,345.7486267089844,0.19091986119747162,28-02-2022.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,0.3313184678554535,0.3963053524494171,0.3691442484591441,758.0,279.81134033203125,0.3744136393070221,28-02-2022.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,0.2838965952396393,0.3778013288974762,0.3356428606992118,559.0,187.62435913085938,0.33826372027397156,28-02-2022.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,0.1859060674905777,0.33660998940467834,0.22469488464959778,1111.0,249.63601684570312,0.2092251181602478,28-02-2022.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,0.18879221379756927,0.36795884370803833,0.3186816993486918,977.0,311.3520202636719,0.3359983563423157,28-02-2022.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,0.34495851397514343,0.3958909809589386,0.38380909819082626,559.0,214.54928588867188,0.3868059515953064,28-02-2022.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,0.1626289188861847,0.3619392514228821,0.2657861117658944,1160.0,308.3118896484375,0.26477187871932983,28-02-2022.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,0.18604601919651031,0.39572277665138245,0.29960961050542606,933.0,279.5357666015625,0.29127323627471924,28-02-2022.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,0.17350861430168152,0.38386279344558716,0.2684093405717159,1041.0,279.41412353515625,0.2663920819759369,28-02-2022.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,0.2523129880428314,0.36795884370803833,0.3275091247981861,721.0,236.1340789794922,0.33406582474708557,28-02-2022.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,0.1366022378206253,0.2322944700717926,0.1795108369241916,1639.0,294.21826171875,0.17842969298362732,28-02-2022.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,0.13819430768489838,0.40535596013069153,0.27457675832919975,1890.0,518.9500732421875,0.2820988595485687,28-02-2022.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,0.21363626420497894,0.3869514763355255,0.3035719300856143,991.0,300.83978271484375,0.31194326281547546,28-02-2022.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,0.25022071599960327,0.4056546092033386,0.34949800385657925,1101.0,384.79730224609375,0.3481966257095337,28-02-2022.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,0.2899094521999359,0.3953569233417511,0.35975526370543387,582.0,209.3775634765625,0.36567622423171997,28-02-2022.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,0.347493439912796,0.3963053524494171,0.37682006472633,504.0,189.9173126220703,0.37755677103996277,28-02-2022.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,0.1742209643125534,0.3519785702228546,0.24226698583486128,1176.0,284.9059753417969,0.2436913549900055,28-02-2022.geojson,"[77.8743389606641, 17.7860620089045]",
Siddipet,TSD0018,3637.17,0.26804405450820923,0.3905736207962036,0.3518956738482811,969.0,340.9869079589844,0.35780733823776245,28-02-2022.geojson,"[78.84824565922057, 18.009624641220498]",
Vikarabad,TSD0019,3618.96,0.16571439802646637,0.22522468864917755,0.1866561050898933,946.0,176.57667541503906,0.18532957136631012,28-02-2022.geojson,"[77.74593740335436, 17.25474880524307]",
Wanaparthy,TSD0020,2174.67,0.1787204146385193,0.25666359066963196,0.2219283843833803,571.0,126.72110748291016,0.2290215790271759,28-02-2022.geojson,"[78.03702611426529, 16.293469013815827]",
Warangal Rural,TSD0021,2139.98,0.2690095603466034,0.3944297134876251,0.3556952534957859,571.0,203.10198974609375,0.3582156002521515,28-02-2022.geojson,"[79.7502031232394, 17.923738139779893]",
Warangal Urban,TSD0022,1294.45,0.3496655821800232,0.37589019536972046,0.3652008056640625,340.0,124.16827392578125,0.3672102689743042,28-02-2022.geojson,"[79.47837226395748, 18.02463739511114]",
Yadadri Bhuvanagiri,TSD0023,3422.72,0.18722553551197052,0.3328173756599426,0.2699823072562604,901.0,243.25405883789062,0.2742670178413391,28-02-2022.geojson,"[78.99514545853893, 17.45604943922443]",
Narayanpet,TSD0024,2380.13,0.17294004559516907,0.25035372376441956,0.21430539694628425,611.0,130.9405975341797,0.21707411110401154,28-02-2022.geojson,"[77.58109853968095, 16.64806882624636]",
Jogulamba Gadwal,TSD0025,2574.21,0.16511577367782593,0.25228628516197205,0.20107784414649907,665.0,133.71676635742188,0.19650207459926605,28-02-2022.geojson,"[77.78100589186505, 16.07197293220882]",
Rangareddy,TSD0026,4997.54,0.1358024626970291,0.2273610532283783,0.1657227834065755,1320.0,218.7540740966797,0.16666162014007568,28-02-2022.geojson,"[78.41195074939806, 17.132164589550737]",
Suryapet,TSD0027,3584.22,0.29128217697143555,0.41008099913597107,0.3653142850026567,941.0,343.7607421875,0.37492835521698,28-02-2022.geojson,"[79.75491488779194, 17.080574047365182]",
Medchal Malkajgiri,TSD0028,1088.52,0.0,0.2955302894115448,0.21997494167751735,288.0,63.352783203125,0.2205970287322998,28-02-2022.geojson,"[78.55767227540055, 17.543524002760133]",
Adilabad,TSD0029,3980.34,0.17933079600334167,0.3207648992538452,0.20534218560034673,1041.0,213.76121520996094,0.1960199773311615,28-02-2022.geojson,"[78.56516888256076, 19.520583182394112]",
Hyderabad,TSD0030,182.64,0.0,0.20956125855445862,0.11664334932963054,48.0,5.598880767822266,0.18294502794742584,28-02-2022.geojson,"[78.46696611965449, 17.39599799813276]",
Kumurambheem Asifabad,TSD0031,4495.32,0.17350861430168152,0.347764253616333,0.20938500212332117,1182.0,247.49307250976562,0.2007468044757843,28-02-2022.geojson,"[79.41516675337719, 19.359212805741603]",
Jayashankar Bhupalpally,TSD0032,2946.01,0.20576436817646027,0.3555745780467987,0.28477491721128806,780.0,222.1244354248047,0.2868574857711792,28-02-2022.geojson,"[79.92787070175133, 18.50206900623134]",
Mahabubnagar,TSD0033,2749.62,0.15161249041557312,0.25666359066963196,0.2099945406504285,722.0,151.61605834960938,0.21547386050224304,28-02-2022.geojson,"[77.99005585064445, 16.756204506499706]",
