district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Bhadradri Kothagudem,TSD0001,6974.14,0.0005545668536797166,0.0012094203848391771,0.0005862533204978513,62.0,0.036347705870866776,0.0005545668536797166,28-02-2023.geojson,"[80.70439006278075, 17.689273994357553]",
Jagtial,TSD0002,2853.09,0.0005545668536797166,0.0005545668536797166,0.0005545668447246918,26.0,0.014418737962841988,0.0005545668536797166,28-02-2023.geojson,"[78.87574330838751, 18.8338023749505]",
Jangoan,TSD0003,2112.71,0.0005545668536797166,0.0012094203848391771,0.0005890328044954099,19.0,0.011191623285412788,0.0005545668536797166,28-02-2023.geojson,"[79.27607800489348, 17.750740986831726]",
Mulugu,TSD0004,4189.02,0.0005545668536797166,0.0005545668536797166,0.0005545668505333566,37.0,0.020518973469734192,0.0005545668536797166,28-02-2023.geojson,"[80.33786772661823, 18.29047147518736]",
Kamareddy,TSD0005,3701.83,0.0005545668536797166,0.0005545668536797166,0.0005545668742235969,34.0,0.018855273723602295,0.0005545668536797166,28-02-2023.geojson,"[78.06329890793397, 18.326243692893655]",
Karimnagar,TSD0006,2127.79,0.0005545668536797166,0.0005545668536797166,0.0005545668407446808,18.0,0.009982203133404255,0.0005545668536797166,28-02-2023.geojson,"[79.23853687837321, 18.380183921305157]",
Khammam,TSD0007,4491.25,0.0005545668536797166,0.0012094203848391771,0.0005705388853462731,41.0,0.023392094299197197,0.0005545668536797166,28-02-2023.geojson,"[80.35668821773643, 17.199094525973987]",
Mahabubabad,TSD0008,3551.04,0.0005545668536797166,0.0012094203848391771,0.0006223103224203505,29.0,0.018046999350190163,0.0005545668536797166,28-02-2023.geojson,"[79.9868218423423, 17.665218729780197]",
Mancherial,TSD0009,3909.4,0.0005545668536797166,0.0005545668536797166,0.0005545668536797166,32.0,0.01774613931775093,0.0005545668536797166,28-02-2023.geojson,"[79.51701293789398, 18.993531032765564]",
Medak,TSD0010,2771.68,0.0005545668536797166,0.0005545668536797166,0.0005545668303966522,25.0,0.013864170759916306,0.0005545668536797166,28-02-2023.geojson,"[78.25824850555264, 17.956574082577863]",
