district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 23.441429138183594, 'max': 31.102380752563477, 'mean': 27.554970034246576, 'count': 1825, 'sum': 50287.8203125, 'median': 27.797142028808594}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 25.07200050354004, 'max': 29.987499237060547, 'mean': 27.96585896273087, 'count': 758, 'sum': 21198.12109375, 'median': 28.030624389648438}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 26.204999923706055, 'max': 29.84833335876465, 'mean': 28.394276190742396, 'count': 559, 'sum': 15872.400390625, 'median': 28.387142181396484}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 24.1200008392334, 'max': 32.87699890136719, 'mean': 26.77305777452745, 'count': 1111, 'sum': 29744.8671875, 'median': 26.438236236572266}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 22.5483341217041, 'max': 31.993000030517578, 'mean': 28.476914342374616, 'count': 977, 'sum': 27821.9453125, 'median': 28.652856826782227}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 23.24052619934082, 'max': 29.440000534057617, 'mean': 27.52127299027281, 'count': 559, 'sum': 15384.3916015625, 'median': 27.584117889404297}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 23.24142837524414, 'max': 31.329999923706055, 'mean': 28.572174703663794, 'count': 1160, 'sum': 33143.72265625, 'median': 28.733665466308594}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 24.139333724975586, 'max': 30.21923065185547, 'mean': 27.721743535637728, 'count': 933, 'sum': 25864.38671875, 'median': 27.880666732788086}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 24.411176681518555, 'max': 30.811111450195312, 'mean': 27.837781805355426, 'count': 1041, 'sum': 28979.130859375, 'median': 28.04888916015625}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 22.997272491455078, 'max': 32.16166687011719, 'mean': 28.907577366504853, 'count': 721, 'sum': 20842.36328125, 'median': 28.90999984741211}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2022.geojson,,,,,,
