district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 0.0051634772680699825, 'max': 0.03206547349691391, 'mean': 0.01315721230847495, 'count': 56, 'sum': 0.7368038892745972, 'median': 0.01269603706896305}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 0.006239557638764381, 'max': 0.011619956232607365, 'mean': 0.008859578034152155, 'count': 23, 'sum': 0.20377029478549957, 'median': 0.00839171651750803}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 0.0030113179236650467, 'max': 0.0051634772680699825, 'mean': 0.0040240989011876725, 'count': 17, 'sum': 0.06840968132019043, 'median': 0.004087397828698158}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 0.0019352380186319351, 'max': 0.03314155340194702, 'mean': 0.010718376249880405, 'count': 37, 'sum': 0.39657992124557495, 'median': 0.007315637078136206}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 0.0030113179236650467, 'max': 0.011619956232607365, 'mean': 0.0065265124042828875, 'count': 30, 'sum': 0.19579537212848663, 'median': 0.006239557638764381}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 0.0019352380186319351, 'max': 0.00839171651750803, 'mean': 0.0033911107217564304, 'count': 17, 'sum': 0.057648882269859314, 'median': 0.0030113179236650467}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 0.0051634772680699825, 'max': 0.017000354826450348, 'mean': 0.009219470696571546, 'count': 39, 'sum': 0.3595593571662903, 'median': 0.007315637078136206}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 0.0019352380186319351, 'max': 0.007315637078136206, 'mean': 0.00388563284650445, 'count': 32, 'sum': 0.1243402510881424, 'median': 0.0030113179236650467}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 0.0008591582300141454, 'max': 0.027761153876781464, 'mean': 0.011739519735177359, 'count': 36, 'sum': 0.4226227104663849, 'median': 0.010543876327574253}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 0.0030113179236650467, 'max': 0.0051634772680699825, 'mean': 0.00426674447953701, 'count': 24, 'sum': 0.10240186750888824, 'median': 0.004087397828698158}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2022.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 0.0008591582300141454, 'max': 0.006239557638764381, 'mean': 0.0020773618851067884, 'count': 53, 'sum': 0.11010017991065979, 'median': 0.0019352380186319351}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2022.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 0.0019352380186319351, 'max': 0.006239557638764381, 'mean': 0.003311209014204682, 'count': 61, 'sum': 0.2019837498664856, 'median': 0.0030113179236650467}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2022.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 0.0051634772680699825, 'max': 0.03421763330698013, 'mean': 0.014261242115136349, 'count': 33, 'sum': 0.4706209897994995, 'median': 0.01269603706896305}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2022.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 0.004087397828698158, 'max': 0.009467797353863716, 'mean': 0.006708618157949203, 'count': 39, 'sum': 0.2616361081600189, 'median': 0.007315637078136206}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2022.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 0.0019352380186319351, 'max': 0.007315637078136206, 'mean': 0.003690947435404125, 'count': 19, 'sum': 0.07012800127267838, 'median': 0.0030113179236650467}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2022.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 0.0030113179236650467, 'max': 0.010543876327574253, 'mean': 0.006239557762940725, 'count': 15, 'sum': 0.09359336644411087, 'median': 0.006239557638764381}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2022.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': 0.0030113179236650467, 'max': 0.007315637078136206, 'mean': 0.005025519010348198, 'count': 39, 'sum': 0.1959952414035797, 'median': 0.0051634772680699825}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2022.geojson,,,,,,
