district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 0.16151808202266693, 'max': 0.2935607433319092, 'mean': 0.20621715806934932, 'count': 1825, 'sum': 376.3463134765625, 'median': 0.2053837776184082}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",28-02-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 0.32942435145378113, 'max': 0.3681183159351349, 'mean': 0.34419169966966934, 'count': 758, 'sum': 260.8973083496094, 'median': 0.34528303146362305}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",28-02-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 0.2810806632041931, 'max': 0.34512612223625183, 'mean': 0.31369144118962433, 'count': 559, 'sum': 175.353515625, 'median': 0.3128786087036133}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",28-02-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 0.21077603101730347, 'max': 0.3669854402542114, 'mean': 0.25438700486259563, 'count': 1111, 'sum': 282.62396240234375, 'median': 0.23841576278209686}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",28-02-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 0.2021111249923706, 'max': 0.3583642840385437, 'mean': 0.3237175995154171, 'count': 977, 'sum': 316.2720947265625, 'median': 0.33594489097595215}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",28-02-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 0.34257039427757263, 'max': 0.3958103656768799, 'mean': 0.36964842330577763, 'count': 559, 'sum': 206.6334686279297, 'median': 0.37059512734413147}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",28-02-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 0.1796398162841797, 'max': 0.34207624197006226, 'mean': 0.29391984610721983, 'count': 1160, 'sum': 340.947021484375, 'median': 0.3006341755390167}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",28-02-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 0.192794069647789, 'max': 0.37049755454063416, 'mean': 0.2938591567649719, 'count': 933, 'sum': 274.17059326171875, 'median': 0.31084391474723816}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",28-02-2023.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 0.1871986836194992, 'max': 0.3538966774940491, 'mean': 0.2775072726232289, 'count': 1041, 'sum': 288.88507080078125, 'median': 0.2801492512226105}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",28-02-2023.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 0.30101126432418823, 'max': 0.3583642840385437, 'mean': 0.34544907991829926, 'count': 721, 'sum': 249.06878662109375, 'median': 0.3477177917957306}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",28-02-2023.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 0.16871188580989838, 'max': 0.2627931833267212, 'mean': 0.21626126264347545, 'count': 1639, 'sum': 354.45220947265625, 'median': 0.21325920522212982}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",28-02-2023.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 0.17435622215270996, 'max': 0.3997850716114044, 'mean': 0.26984367572441303, 'count': 1890, 'sum': 510.0045471191406, 'median': 0.2626805305480957}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",28-02-2023.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 0.2176779955625534, 'max': 0.3927554488182068, 'mean': 0.3140779220011352, 'count': 991, 'sum': 311.251220703125, 'median': 0.3202182650566101}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",28-02-2023.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 0.2656001150608063, 'max': 0.4120350778102875, 'mean': 0.350867691525105, 'count': 1101, 'sum': 386.3053283691406, 'median': 0.3471114933490753}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",28-02-2023.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 0.3069626986980438, 'max': 0.3958103656768799, 'mean': 0.352993627594099, 'count': 582, 'sum': 205.44229125976562, 'median': 0.3527124226093292}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",28-02-2023.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 0.3273085355758667, 'max': 0.3642929494380951, 'mean': 0.3457106030176556, 'count': 504, 'sum': 174.23814392089844, 'median': 0.3446463942527771}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",28-02-2023.geojson,,,,,,
Sangareddy,TSD0017,4460.37,"{'min': 0.1879976987838745, 'max': 0.35729724168777466, 'mean': 0.2699840312101403, 'count': 1176, 'sum': 317.501220703125, 'median': 0.26665905117988586}","(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",28-02-2023.geojson,,,,,,
Siddipet,TSD0018,3637.17,"{'min': 0.297993928194046, 'max': 0.37169498205184937, 'mean': 0.33835012083575206, 'count': 969, 'sum': 327.86126708984375, 'median': 0.33986949920654297}","(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",28-02-2023.geojson,,,,,,
Vikarabad,TSD0019,3618.96,"{'min': 0.18479856848716736, 'max': 0.25595778226852417, 'mean': 0.2152011218081065, 'count': 946, 'sum': 203.58026123046875, 'median': 0.2150379717350006}","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{'min': 0.20856192708015442, 'max': 0.28070104122161865, 'mean': 0.25856595281544165, 'count': 571, 'sum': 147.6411590576172, 'median': 0.261254221200943}","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{'min': 0.31417879462242126, 'max': 0.3836708068847656, 'mean': 0.3620715567192973, 'count': 571, 'sum': 206.74285888671875, 'median': 0.36850640177726746}","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{'min': 0.3192839026451111, 'max': 0.3836708068847656, 'mean': 0.3565166922176585, 'count': 340, 'sum': 121.2156753540039, 'median': 0.3581695258617401}","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{'min': 0.2100207358598709, 'max': 0.3176083266735077, 'mean': 0.2718069095590403, 'count': 901, 'sum': 244.8980255126953, 'median': 0.2724320590496063}","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
