district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Sangareddy,TSSD0567,111.94,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.22737331300004, 17.528204591000076, 78.38745191600003, 17.67226987500004)",28-02-2023.geojson,Jinnaram,,,,,
Medak,TSSD0568,112.07,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 2, 'sum': 0.0011091337073594332, 'median': 0.0005545668536797166}","(78.42603746200007, 17.77588639100003, 78.56138370400004, 17.89800592200004)",28-02-2023.geojson,Toopran,,,,,
Medak,TSSD0569,88.1,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.41929055500003, 17.692085064000025, 78.52257619700003, 17.817608290000067)",28-02-2023.geojson,Manoharabad,,,,,
Siddipet,TSSD0570,129.06,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.52730335900003, 17.878079271000047, 78.64358807000008, 18.041003706000026)",28-02-2023.geojson,Doultabad,,,,,
Medak,TSSD0571,76.05,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.07364299200003, 17.796666895000044, 78.18678124500008, 17.905026876000022)",28-02-2023.geojson,Chilipched,,,,,
Medak,TSSD0572,136.79,"{'count': 0, 'min': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'max': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.32685103200004, 17.904917194000063, 78.44243876400003, 18.081304571000032)",28-02-2023.geojson,Shankarampet_R,,,,,
Medak,TSSD0573,131.44,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 2, 'sum': 0.0011091337073594332, 'median': 0.0005545668536797166}","(78.43107409900006, 17.905682555000055, 78.58520918700003, 18.06554777300005)",28-02-2023.geojson,Chegunta,,,,,
Kamareddy,TSSD0574,74.34,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.37757087100005, 18.21350254400005, 78.52579487700007, 18.30009331800005)",28-02-2023.geojson,Domakonda,,,,,
Kamareddy,TSSD0575,168.77,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 2, 'sum': 0.0011091337073594332, 'median': 0.0005545668536797166}","(77.72979911700008, 18.190311369000028, 77.89310396100007, 18.380507752000028)",28-02-2023.geojson,Pitlam,,,,,
Kamareddy,TSSD0576,191.8,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 2, 'sum': 0.0011091337073594332, 'median': 0.0005545668536797166}","(77.65355776700005, 18.300626045000058, 77.83219913400006, 18.488304079000045)",28-02-2023.geojson,Bichkunda,,,,,
