district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 5.2774085722349954e-05, 'max': 0.00014853041036646993, 'mean': 7.1365381569442e-05, 'count': 1825, 'sum': 0.13024182136423165, 'median': 6.720371339398406e-05}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 5.95405747392682e-05, 'max': 9.378447405226605e-05, 'mean': 6.839496272513266e-05, 'count': 758, 'sum': 0.05184338174565055, 'median': 6.627120451039221e-05}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 5.917550477316298e-05, 'max': 7.37581417923453e-05, 'mean': 6.44033485979803e-05, 'count': 559, 'sum': 0.036001471866270986, 'median': 6.392366265125654e-05}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 4.881945173321122e-05, 'max': 0.00010916781891591569, 'mean': 6.182059835775993e-05, 'count': 1111, 'sum': 0.06868268477547129, 'median': 6.0253213527869825e-05}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 5.649354308073432e-05, 'max': 7.068825750641388e-05, 'mean': 6.354246554367397e-05, 'count': 977, 'sum': 0.06208098883616947, 'median': 6.397491529332156e-05}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 6.754130938954114e-05, 'max': 0.00010915399711191175, 'mean': 7.990205274972831e-05, 'count': 559, 'sum': 0.044665247487098124, 'median': 7.945747174238255e-05}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 6.033525884335456e-05, 'max': 8.975019504390111e-05, 'mean': 6.914411385171906e-05, 'count': 1160, 'sum': 0.0802071720679941, 'median': 6.832166792081269e-05}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 5.413590005170325e-05, 'max': 7.308753645140526e-05, 'mean': 6.413895463967557e-05, 'count': 933, 'sum': 0.05984164467881731, 'median': 6.473452300435079e-05}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 5.7484336942714134e-05, 'max': 0.00022889248628967665, 'mean': 8.561438089329532e-05, 'count': 1041, 'sum': 0.08912457050992043, 'median': 7.622756025242188e-05}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 6.096832810116441e-05, 'max': 7.866265927807434e-05, 'mean': 6.809564523664492e-05, 'count': 721, 'sum': 0.04909696021562099, 'median': 6.784135778838925e-05}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2022.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 4.591548805280366e-05, 'max': 6.431653021470572e-05, 'mean': 5.4877241016791164e-05, 'count': 1639, 'sum': 0.08994379802652072, 'median': 5.4732897860059214e-05}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2022.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 5.178594818026578e-05, 'max': 0.00010757020569477096, 'mean': 6.172108823338542e-05, 'count': 1890, 'sum': 0.11665285676109843, 'median': 6.041854276189062e-05}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2022.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 5.569983597310096e-05, 'max': 6.849731641149318e-05, 'mean': 6.220707989618327e-05, 'count': 991, 'sum': 0.06164721617711762, 'median': 6.226001345585683e-05}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2022.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 5.80442647687627e-05, 'max': 7.115553004747288e-05, 'mean': 6.372858150337583e-05, 'count': 1101, 'sum': 0.07016516823521679, 'median': 6.361491266704362e-05}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2022.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 7.581660158060901e-05, 'max': 0.0002595744436076104, 'mean': 0.0001229229391337679, 'count': 582, 'sum': 0.07154115057585292, 'median': 0.0001109381538387907}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2022.geojson,,,,,,
