district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Bhadradri Kothagudem,TSD0001,6974.14,"{'min': 64.34970092773438, 'max': 86.04054260253906, 'mean': 77.66251156574484, 'count': 29181, 'sum': 2266269.75, 'median': 78.82978057861328}","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2022.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{'min': 81.32949829101562, 'max': 99.74262237548828, 'mean': 87.83494714675035, 'count': 12109, 'sum': 1063593.375, 'median': 87.21649932861328}","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2022.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{'min': 78.50145721435547, 'max': 89.70355987548828, 'mean': 84.6595516487214, 'count': 8916, 'sum': 754824.5625, 'median': 84.75517272949219}","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2022.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{'min': 65.25399780273438, 'max': 87.65994262695312, 'mean': 73.0979518581081, 'count': 17760, 'sum': 1298219.625, 'median': 72.5431900024414}","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2022.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{'min': 76.5172348022461, 'max': 81.2801513671875, 'mean': 78.76638411742084, 'count': 15602, 'sum': 1228913.125, 'median': 78.33695983886719}","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2022.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{'min': 91.25165557861328, 'max': 99.8023910522461, 'mean': 95.58276239875735, 'count': 9013, 'sum': 861487.4375, 'median': 95.62278747558594}","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2022.geojson,,,,,,
Khammam,TSD0007,4491.25,"{'min': 77.64746856689453, 'max': 91.90603637695312, 'mean': 82.79991028868298, 'count': 18671, 'sum': 1545957.125, 'median': 82.14833068847656}","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2022.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{'min': 73.329345703125, 'max': 84.98706817626953, 'mean': 77.70804184156172, 'count': 15009, 'sum': 1166320.0, 'median': 77.64746856689453}","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2022.geojson,,,,,,
Mancherial,TSD0009,3909.4,"{'min': 71.89128112792969, 'max': 99.74262237548828, 'mean': 88.15884203521084, 'count': 16529, 'sum': 1457177.5, 'median': 89.1883316040039}","(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2022.geojson,,,,,,
Medak,TSD0010,2771.68,"{'min': 75.45310974121094, 'max': 79.61994934082031, 'mean': 77.9074940201606, 'count': 11706, 'sum': 911985.125, 'median': 77.7756118774414}","(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2022.geojson,,,,,,
Nagarkurnool,TSD0011,6399.07,"{'min': 53.423789978027344, 'max': 73.85018157958984, 'mean': 62.14213859910581, 'count': 26169, 'sum': 1626197.625, 'median': 63.07012176513672}","(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2022.geojson,,,,,,
Nalgonda,TSD0012,7218.26,"{'min': 65.33702850341797, 'max': 83.93401336669922, 'mean': 77.25137939009483, 'count': 30267, 'sum': 2338167.5, 'median': 78.32305145263672}","(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2022.geojson,,,,,,
Nirmal,TSD0013,3729.13,"{'min': 80.84800720214844, 'max': 87.21649932861328, 'mean': 82.23645476462377, 'count': 15762, 'sum': 1296211.0, 'median': 82.0035629272461}","(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2022.geojson,,,,,,
Nizamabad,TSD0014,4168.33,"{'min': 78.41348266601562, 'max': 85.38984680175781, 'mean': 80.56904876529225, 'count': 17656, 'sum': 1422527.125, 'median': 80.84800720214844}","(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2022.geojson,,,,,,
Peddapalli,TSD0015,2195.39,"{'min': 85.0763931274414, 'max': 99.8023910522461, 'mean': 95.47316353887399, 'count': 9325, 'sum': 890287.25, 'median': 95.78459930419922}","(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2022.geojson,,,,,,
Rajanna Sircilla,TSD0016,1897.97,"{'min': 79.61994934082031, 'max': 94.19210815429688, 'mean': 86.65239523750311, 'count': 8042, 'sum': 696858.5625, 'median': 86.76204681396484}","(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2022.geojson,,,,,,
