district_name,uid,area,min,max,mean,count,sum,median,geometry,source_file,bounds
Bhadradri Kothagudem,TSD0001,6974.14,5.2774085722349954e-05,0.00014853041036646993,7.1365381569442e-05,1825.0,0.13024182136423165,6.720371339398406e-05,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2022.geojson,
Jagtial,TSD0002,2853.09,5.95405747392682e-05,9.378447405226605e-05,6.839496272513266e-05,758.0,0.05184338174565055,6.627120451039221e-05,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2022.geojson,
Jangoan,TSD0003,2112.71,5.917550477316298e-05,7.37581417923453e-05,6.44033485979803e-05,559.0,0.036001471866270986,6.392366265125654e-05,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2022.geojson,
Mulugu,TSD0004,4189.02,4.881945173321122e-05,0.00010916781891591569,6.182059835775993e-05,1111.0,0.06868268477547129,6.0253213527869825e-05,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2022.geojson,
Kamareddy,TSD0005,3701.83,5.649354308073432e-05,7.068825750641388e-05,6.354246554367397e-05,977.0,0.06208098883616947,6.397491529332156e-05,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2022.geojson,
Karimnagar,TSD0006,2127.79,6.754130938954114e-05,0.00010915399711191175,7.990205274972831e-05,559.0,0.044665247487098124,7.945747174238255e-05,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2022.geojson,
Khammam,TSD0007,4491.25,6.033525884335456e-05,8.975019504390111e-05,6.914411385171906e-05,1160.0,0.0802071720679941,6.832166792081269e-05,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2022.geojson,
Mahabubabad,TSD0008,3551.04,5.413590005170325e-05,7.308753645140526e-05,6.413895463967557e-05,933.0,0.05984164467881731,6.473452300435079e-05,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2022.geojson,
Mancherial,TSD0009,3909.4,5.7484336942714134e-05,0.00022889248628967665,8.561438089329532e-05,1041.0,0.08912457050992043,7.622756025242188e-05,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2022.geojson,
Medak,TSD0010,2771.68,6.096832810116441e-05,7.866265927807434e-05,6.809564523664492e-05,721.0,0.04909696021562099,6.784135778838925e-05,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2022.geojson,
