district_name,uid,area,min,max,mean,count,sum,median,geometry,source_file,bounds
Bhadradri Kothagudem,TSD0001,6974.14,64.34970092773438,86.04054260253906,77.66251156574484,29181.0,2266269.75,78.82978057861328,"(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",01-01-2022.geojson,
Jagtial,TSD0002,2853.09,81.32949829101562,99.74262237548828,87.83494714675035,12109.0,1063593.375,87.21649932861328,"(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",01-01-2022.geojson,
Jangoan,TSD0003,2112.71,78.50145721435547,89.70355987548828,84.6595516487214,8916.0,754824.5625,84.75517272949219,"(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",01-01-2022.geojson,
Mulugu,TSD0004,4189.02,65.25399780273438,87.65994262695312,73.0979518581081,17760.0,1298219.625,72.5431900024414,"(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",01-01-2022.geojson,
Kamareddy,TSD0005,3701.83,76.5172348022461,81.2801513671875,78.76638411742084,15602.0,1228913.125,78.33695983886719,"(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",01-01-2022.geojson,
Karimnagar,TSD0006,2127.79,91.25165557861328,99.8023910522461,95.58276239875735,9013.0,861487.4375,95.62278747558594,"(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",01-01-2022.geojson,
Khammam,TSD0007,4491.25,77.64746856689453,91.90603637695312,82.79991028868298,18671.0,1545957.125,82.14833068847656,"(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",01-01-2022.geojson,
Mahabubabad,TSD0008,3551.04,73.329345703125,84.98706817626953,77.70804184156172,15009.0,1166320.0,77.64746856689453,"(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",01-01-2022.geojson,
Mancherial,TSD0009,3909.4,71.89128112792969,99.74262237548828,88.15884203521084,16529.0,1457177.5,89.1883316040039,"(78.87934684700008, 18.672040560000028, 79.96247775100005, 19.288073780000047)",01-01-2022.geojson,
Medak,TSD0010,2771.68,75.45310974121094,79.61994934082031,77.9074940201606,11706.0,911985.125,77.7756118774414,"(77.79480732300004, 17.664489015000072, 78.58893089700007, 18.215476757000033)",01-01-2022.geojson,
Nagarkurnool,TSD0011,6399.07,53.423789978027344,73.85018157958984,62.14213859910581,26169.0,1626197.625,63.07012176513672,"(78.10083116400006, 16.00532167600005, 79.23432760400004, 16.830959432000043)",01-01-2022.geojson,
Nalgonda,TSD0012,7218.26,65.33702850341797,83.93401336669922,77.25137939009483,30267.0,2338167.5,78.32305145263672,"(78.62614167300006, 16.35584791900004, 79.70200312500003, 17.35996707100003)",01-01-2022.geojson,
Nirmal,TSD0013,3729.13,80.84800720214844,87.21649932861328,82.23645476462377,15762.0,1296211.0,82.0035629272461,"(77.76173454100007, 18.84522452500005, 78.95237500500008, 19.342882151000026)",01-01-2022.geojson,
Nizamabad,TSD0014,4168.33,78.41348266601562,85.38984680175781,80.56904876529225,17656.0,1422527.125,80.84800720214844,"(77.73094369300003, 18.43404349700006, 78.64029038200005, 19.015710890000037)",01-01-2022.geojson,
Peddapalli,TSD0015,2195.39,85.0763931274414,99.8023910522461,95.47316353887399,9325.0,890287.25,95.78459930419922,"(79.11294947900006, 18.385471986000027, 79.83268954900007, 18.854875013000026)",01-01-2022.geojson,
Rajanna Sircilla,TSD0016,1897.97,79.61994934082031,94.19210815429688,86.65239523750311,8042.0,696858.5625,86.76204681396484,"(78.52078465300008, 18.21376387500004, 79.02266919100003, 18.69041016700004)",01-01-2022.geojson,
Sangareddy,TSD0017,4460.37,67.82984161376953,83.36280822753906,75.3573669176144,18729.0,1411368.125,75.45310974121094,"(77.44416825100006, 17.42785604100004, 78.44886573200006, 18.309307690000026)",01-01-2022.geojson,
Siddipet,TSD0018,3637.17,78.50145721435547,95.62278747558594,84.14440033838746,15367.0,1293047.0,85.561767578125,"(78.49289586600008, 17.667265188000044, 79.30335584600004, 18.34315846100003)",01-01-2022.geojson,
Vikarabad,TSD0019,3618.96,65.36695098876953,75.15931701660156,69.13785405387561,15146.0,1047161.9375,68.65126037597656,"(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2022.geojson,
Wanaparthy,TSD0020,2174.67,54.914913177490234,65.6041030883789,61.72892609699769,9093.0,561301.125,62.02858352661133,"(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2022.geojson,
Warangal Rural,TSD0021,2139.98,76.12110137939453,93.65968322753906,83.33495024875621,9045.0,753764.625,84.98706817626953,"(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",01-01-2022.geojson,
Warangal Urban,TSD0022,1294.45,84.98706817626953,95.62278747558594,89.84086028874269,5472.0,491609.1875,89.45100402832031,"(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",01-01-2022.geojson,
